CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
14455041;16074239;850462;1377651;5657212;5981;0;800
19602428;21898442;1297665;1884436;7916056;6103;0;832
21482672;24023620;1323056;2144663;8842995;8972;0;864
28097829;31529338;2273005;2604830;11352022;11353;0;896
31812296;35936431;2471674;2998056;13161161;11780;0;928
36657377;41841995;3827017;3393358;15702474;13245;0;960
42162490;47886840;3288932;4248832;18375807;13611;0;992
65265336;78617169;15206016;6790421;33428626;22705;0;1024
53973738;61063565;4143727;5344066;22953616;20081;0;1056
62077356;70293948;5205858;5910857;26090936;20447;0;1088
67328380;75588246;4938098;6128237;26517327;20264;0;1120
79093242;89930251;8137003;7168260;33041358;20569;0;1152
81452489;92482979;7171979;7791711;34760104;24170;0;1184
90936107;103100627;8272562;8540659;38054834;25879;0;1216
101508408;114349072;8296243;9197271;40536091;27405;0;1248
112436358;129871005;15248863;10552495;50608513;36987;0;1280
113992689;129162572;9865148;10871927;47881225;32592;0;1312
124994125;141104192;10407017;11701915;51171500;9400;0;1344
136987930;153665501;10236302;12411308;53454392;36743;0;1376
141452031;161765028;15015831;13545811;61745875;42602;0;1408
156368496;176330115;12886259;14466729;63065085;46447;0;1440
176946385;199347512;15393637;15693589;69464361;31556;0;1472
187147470;211102121;16301899;16721942;74403252;51880;0;1504
270519388;328510695;68294503;28228424;140742743;85144;0;1536
208318253;233387220;15375754;18841670;80315163;17456;0;1568
216378780;247563514;23846740;20384401;93805729;61584;0;1600
244160203;276421778;23312014;21802732;98737174;60852;0;1632
236722538;271624732;26104609;22717171;105448216;24597;0;1664
268430221;302935076;23133791;24375447;107596587;73059;0;1696
275953456;316404403;31804973;25981101;120205503;83679;0;1728
307998296;348202477;28876635;27444637;123170094;77576;0;1760
331903203;399629043;75427969;34658976;170726675;70068;0;1792
341645548;387472702;33539892;30799336;139730111;85388;0;1824
355193244;406625363;41449723;32582245;152004982;60180;0;1856
383555781;436657940;41508133;34329184;158589438;100281;0;1888
391280187;451170659;50076410;37134054;175446206;48096;0;1920
425760506;484242046;44591500;38309546;175891640;112610;0;1952
421364644;487028477;55688334;40471498;190519532;44800;0;1984
449425852;513388517;47971129;42545671;193240899;132141;0;2016
699412638;859473264;197523115;76713337;377033764;26367;0;2048
484567729;556280681;54815961;46450429;215417906;133666;0;2080
504384695;583794770;67637583;49119617;230964497;17090;0;2112
551351006;630038365;59869476;50805015;236361882;146973;0;2144
568095225;665287177;91847177;56241017;270599588;145081;0;2176
634511010;724849829;73286250;57210975;266009390;157897;0;2208
637368425;736171821;86745262;59606345;282512948;144836;0;2240
693809869;794921122;84780239;62783032;294259561;147217;0;2272
813132990;982653186;196294114;83659712;416026034;139587;0;2304
706792014;816602646;92119942;67934688;319800817;161681;0;2336
739434447;861463798;110447105;72354840;343793676;150146;0;2368
802016440;918559477;93878117;73553957;344747286;148010;0;2400
792298570;941578095;153430698;81539812;398009113;143859;0;2432
882042176;1010683021;106032077;80654780;377329295;151488;0;2464
922770404;1075623956;147007436;87241389;418920253;151244;0;2496
959047899;1100938588;120076108;87631439;412052839;153625;0;2528
1392210059;1702691625;373535055;147784998;739950743;142272;0;2560
989527252;1143544924;131180755;94970949;446735001;161010;0;2592
1042967728;1228588834;184524918;103604655;500275697;148376;0;2624
1129194619;1298587679;146954702;103338225;487207005;152588;0;2656
1120094728;1338824331;234311046;115829215;567611401;148803;0;2688
1221635483;1412148545;173990338;112255020;536198151;153686;0;2720
1252349089;1466662932;213414310;119525098;577618089;150818;0;2752
1290420036;1487538062;172498948;119033789;566510330;145385;0;2784
1615442276;1984718003;440342195;177142907;887421617;147704;0;2816
1389596174;1603613143;189571048;128418856;611944784;154235;0;2848
1485263287;1748435649;272275181;142671782;694456474;150146;0;2880
1526437193;1762802494;215283079;140063206;665546514;143127;0;2912
1671731683;2006363455;380304019;167776768;833070499;159912;0;2944
1601850208;1846679416;214818664;147911985;703377838;160461;0;2976
1690991642;1987493813;303063922;162139004;788691157;151550;0;3008
1747670819;2021729810;251611416;161156331;769420577;153564;0;3040
2504245298;3101067135;745629927;274273841;1380952825;233703;0;3072
1841714096;2129308941;260049444;170670944;814562795;168152;0;3104
1907481811;2240925538;339045824;183089914;890065836;148742;0;3136
2029729851;2359604494;319400245;187394719;903285590;143981;0;3168
