CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
623412;709410;42481;60459;256347;0;0,800
846006;955686;69946;77686;343139;2259;0,832
1023618;1125302;86121;88231;396300;1770;0,864
846800;953671;71045;79871;346740;0;0,896
878904;996213;81238;85144;375121;671;0,928
996091;1123959;93445;92014;411010;0;0,960
1261227;1410213;134094;113079;521850;0;0,992
1544124;1779048;202575;149117;686582;4211;0,1024
1317196;1504330;154296;120098;555906;0;0,1056
1601681;1849727;212280;157874;729429;3967;0,1088
1531490;1788143;207946;141768;671141;1587;0,1120
1812862;2047419;245971;157560;747679;0;0,1152
1851009;2124934;250915;166406;782957;1770;0,1184
2118769;2421747;294433;182959;864744;2381;0,1216
2489496;2871270;345702;222902;1062009;3357;0,1248
2674309;3089958;381286;259325;1203183;4333;0,1280
2887077;3324820;420409;265153;1255246;2075;0,1312
2900872;3323966;434264;248094;1184323;1892;0,1344
2968132;3421256;470702;265132;1270383;1831;0,1376
3041984;3548453;520079;290086;1392879;3785;0,1408
3380484;3903860;549925;303860;1456051;4456;0,1440
3629142;4241200;630126;358265;1713923;4334;0,1472
4105275;4764209;676146;386038;1846248;7324;0,1504
4223378;4959765;733946;402465;1938655;6347;0,1536
4424366;5100634;732359;398367;1914485;3479;0,1568
4773120;5544358;791197;413767;2002192;5310;0,1600
5048083;5858139;854856;460945;2217768;5676;0,1632
5897629;6789899;949888;500766;2423211;7751;0,1664
5580979;6466780;968259;496483;2408258;6714;0,1696
6257980;7213299;1045896;554625;2675287;6775;0,1728
6577864;7642314;1140133;595545;2881219;8300;0,1760
7264508;8397378;1204220;621483;3011955;8179;0,1792
7335735;8512124;1269894;682171;3286368;5738;0,1824
7273785;8501626;1300107;674445;3273856;8178;0,1856
8020122;9296302;1384701;714600;3450553;7263;0,1888
8467935;9821264;1466488;746625;3620474;10498;0,1920
8509682;9897985;1517086;753178;3658560;8484;0,1952
9936192;11497773;1668087;886300;4270619;12513;0,1984
9710974;11256624;1722224;851528;4112172;7080;0,2016
10628086;12356108;1852595;969447;4672473;10864;0,2048
10525729;12170868;1841609;906870;4400868;8484;0,2080
11073885;12811124;1933527;952817;4628772;11658;0,2112
11242464;13087430;2035578;1021722;4958728;12329;0,2144
12828764;14801110;2183466;1118193;5409898;16785;0,2176
12597380;14622033;2262750;1133756;5506944;19592;0,2208
13208340;15304953;2350580;1168673;5677354;20141;0,2240
14781456;17167132;2616936;1314694;6381698;30945;0,2272
14550927;16829791;2607965;1242324;6063888;35949;0,2304
15732137;18095169;2709527;1297947;6301253;29541;0,2336
16775714;19383679;2867791;1420891;6894208;40039;0,2368
16710589;19426525;2986260;1472128;7152203;53894;0,2400
17887101;20710091;3127921;1522551;7394939;58288;0,2432
17954971;20889289;3258049;1548966;7559124;57922;0,2464
17538224;20544503;3364737;1614212;7857341;57372;0,2496
18293227;21417914;3487540;1667861;8128458;65246;0,2528
19270336;22451359;3573233;1691075;8245584;64331;0,2560
21148749;24445738;3705068;1753549;8554544;64270;0,2592
22188481;25612911;3875966;1823699;8904335;61706;0,2624
22439457;26102411;4060659;1975671;9598547;66956;0,2656
23698975;27337089;4135305;1959672;9540808;65063;0,2688
22704349;26511468;4279408;2040366;9918432;69824;0,2720
24366759;28270069;4410572;2074502;10135228;68909;0,2752
25866511;30122421;4716479;2289706;11137972;69702;0,2784
27284110;31462016;4738452;2264462;11053561;60790;0,2816
26812004;31126568;4882251;2310542;11250460;70556;0,2848
27856252;32396401;5062548;2449314;11897736;73791;0,2880
29121263;33814550;5297411;2524839;12295440;62317;0,2912
29865524;34718051;5431993;2615928;12732328;70068;0,2944
30411299;35425935;5601975;2717899;13175137;72204;0,2976
32158060;37353603;5813278;2806791;13666896;70191;0,3008
32872474;38168665;5970504;2855042;13899562;72143;0,3040
33783421;39193381;6082809;2918821;14228051;71655;0,3072
34694553;40246845;6316268;2975453;14496667;82580;0,3104
35780670;41533890;6510665;3089356;15027061;80261;0,3136
38363366;44430977;6768049;3288877;15986166;78979;0,3168
38955955;45259833;6996564;3418288;16638263;83496;0,3200
39324423;45688054;7144513;3426660;16671710;83252;0,3232
39687398;46038090;7252606;3409011;16577045;85693;0,3264
41356095;48011474;7565654;3599218;17499528;82031;0,3296
44278329;51140006;7722697;3693103;17990128;83740;0,3328
43346264;50339593;7906535;3774405;18308791;84168;0,3360
45424262;52677539;8247599;3920006;19085766;81604;0,3392
46214603;53665085;8394570;4009368;19499340;91369;0,3424
49398006;57075415;8693460;4136425;20149363;82702;0,3456
50608818;58661654;8999732;4399044;21344367;96252;0,3488
50814201;58968538;9173256;4422823;21466987;93810;0,3520
51308951;59585846;9366004;4472719;21755254;94726;0,3552
55014386;63566671;9595495;4644840;22539249;95276;0,3584
54275374;63120139;9915197;4796790;23300356;99792;0,3616
56070353;65152665;10173558;4922198;23932555;97839;0,3648
56479530;65694534;10396397;4999103;24258727;95520;0,3680
58140232;67465831;10617160;5023049;24454100;95520;0,3712
60177153;69924076;10954867;5314000;25732600;95642;0,3744
62173608;72117980;11251436;5419532;26336236;95398;0,3776
62621238;72765072;11446199;5516220;26739312;101685;0,3808
66938733;77271836;11750092;5597066;27155814;87890;0,3840
65119951;75617055;11960724;5653914;27548757;101867;0,3872
68466500;79484965;12388824;6002929;29132982;102478;0,3904
69268988;80441688;12653715;6071439;29434617;107177;0,3936
73335566;84656826;12862943;6155982;29862656;99914;0,3968
73323970;85055874;13294278;6341077;30855146;104553;0,4000
